261 2063.630860 1.956E-24 5.259E-03.07960.150  767.49760.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P 11f     366643 6 7 2 1 1 1    21.0   23.0
261 2063.804540 5.857E-24 5.233E-03.07960.150  766.80780.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P 11e     366643 6 7 2 1 1 1    63.0   69.0
261 2066.102790 6.035E-24 5.282E-03.08080.154  741.53440.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P 10f     366643 6 7 2 1 1 1    57.0   63.0
261 2066.255360 2.008E-24 5.258E-03.08080.154  740.95940.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P 10e     366643 6 7 2 1 1 1    19.0   21.0
261 2068.563820 2.023E-24 5.306E-03.08200.158  717.93000.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P  9f     366643 6 7 2 1 1 1    17.0   19.0
261 2068.696350 6.058E-24 5.285E-03.08200.158  717.45950.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P  9e     366643 6 7 2 1 1 1    51.0   57.0
261 2071.013910 5.956E-24 5.335E-03.08340.162  696.68490.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P  8f     366643 6 7 2 1 1 1    45.0   51.0
261 2071.127460 1.981E-24 5.314E-03.08340.162  696.30850.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P  8e     366643 6 7 2 1 1 1    15.0   17.0
261 2073.453020 1.893E-24 5.367E-03.08520.166  677.79950.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P  7f     366643 6 7 2 1 1 1    13.0   15.0
261 2073.548660 5.667E-24 5.349E-03.08520.166  677.50670.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P  7e     366643 6 7 2 1 1 1    39.0   45.0
261 2075.881100 5.228E-24 5.401E-03.08750.170  661.27400.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P  6f     366643 6 7 2 1 1 1    33.0   39.0
261 2075.959890 1.739E-24 5.384E-03.08750.170  661.05440.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P  6e     366643 6 7 2 1 1 1    11.0   13.0
261 2078.298120 1.534E-24 5.437E-03.09030.175  647.10880.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P  5f     366643 6 7 2 1 1 1     9.0   11.0
261 2078.361130 4.595E-24 5.425E-03.09030.175  646.95200.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P  5e     366643 6 7 2 1 1 1    27.0   33.0
261 2080.704020 3.804E-24 5.469E-03.09400.180  635.30420.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P  4f     366643 6 7 2 1 1 1    21.0   27.0
261 2080.752320 1.266E-24 5.457E-03.09400.180  635.19960.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P  4e     366643 6 7 2 1 1 1     7.0    9.0
261 2083.098780 9.428E-25 5.450E-03.09850.185  625.86020.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P  3f     366643 6 7 2 1 1 1     5.0    7.0
261 2083.133440 2.825E-24 5.442E-03.09850.185  625.79740.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P  3e     366643 6 7 2 1 1 1    15.0   21.0
261 2085.482350 1.645E-24 5.115E-03.10430.191  618.77700.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P  2f     366643 6 7 2 1 1 1     9.0   15.0
261 2085.504440 5.477E-25 5.109E-03.10430.191  618.74560.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    P  2e     366643 6 7 2 1 1 1     3.0    5.0
261 2088.400140 9.300E-25 8.294E-03.04500.081 1479.99460.75-.001000 000 0 3 0 1  u 000 0 0 0 0+ g                    P 35e     365543 6 7 2 1 1 1   207.0  213.0
261 2089.092780 9.859E-25 2.966E-02.05410.101 1683.34920.75-.001000 000 0 4 0 0+ g 000 0 1 0 1  u                    P 28e     366643 6 8 2 1 1 1   165.0  171.0
261 2090.695850 4.483E-25 8.306E-03.04500.081 1397.90800.75-.001000 000 0 3 0 1  u 000 0 0 0 0+ g                    P 34e     366643 6 7 2 1 1 1    67.0   69.0
261 2091.303370 4.251E-25 2.898E-02.05600.104 1617.61180.75-.001000 000 0 4 0 0+ g 000 0 1 0 1  u                    P 27e     366643 6 8 2 1 1 1    53.0   55.0
261 2092.990600 1.921E-24 8.317E-03.04630.083 1318.15140.75-.001000 000 0 3 0 1  u 000 0 0 0 0+ g                    P 33e     366643 6 7 2 1 1 1   195.0  201.0
261 2093.510420 1.629E-24 2.833E-02.05780.107 1554.21230.75-.001000 000 0 4 0 0+ g 000 0 1 0 1  u                    P 26e     366643 6 8 2 1 1 1   153.0  159.0
261 2094.886450 1.676E-24 3.084E-03.10430.191  614.04440.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    R  1e     366643 6 7 2 1 1 1    15.0    9.0
261 2094.903950 5.580E-25 3.080E-03.10430.191  614.05480.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    R  1f     366643 6 7 2 1 1 1     5.0    3.0
261 2095.284370 9.034E-25 8.328E-03.04770.087 1240.72620.75-.001000 000 0 3 0 1  u 000 0 0 0 0+ g                    P 32e     366643 6 7 2 1 1 1    63.0   65.0
261 2095.712440 6.853E-25 2.772E-02.05970.110 1493.15200.75-.001000 000 0 4 0 0+ g 000 0 1 0 1  u                    P 25e     366643 6 8 2 1 1 1    49.0   51.0
261 2097.206270 9.699E-25 3.921E-03.09850.185  618.74560.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    R  2e     366643 6 7 2 1 1 1     7.0    5.0
261 2097.230980 2.905E-24 3.915E-03.09850.185  618.77700.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    R  2f     366643 6 7 2 1 1 1    21.0   15.0
261 2097.577210 3.776E-24 8.337E-03.04910.091 1165.63380.75-.001000 000 0 3 0 1  u 000 0 0 0 0+ g                    P 31e     366643 6 7 2 1 1 1   183.0  189.0
261 2097.908510 2.562E-24 2.712E-02.06160.113 1434.43190.75-.001000 000 0 4 0 0+ g 000 0 1 0 1  u                    P 24e     366643 6 8 2 1 1 1   141.0  147.0
261 2099.515720 3.950E-24 4.294E-03.09400.180  625.79740.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    R  3e     366643 6 7 2 1 1 1    27.0   21.0
261 2099.546580 1.314E-24 4.286E-03.09400.180  625.86020.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    R  3f     366643 6 7 2 1 1 1     9.0    7.0
261 2099.869160 1.732E-24 8.346E-03.05070.094 1092.87520.75-.001000 000 0 3 0 1  u 000 0 0 0 0+ g                    P 30e     366643 6 7 2 1 1 1    59.0   61.0
261 2100.098160 1.050E-24 2.654E-02.06350.116 1378.05290.75-.001000 000 0 4 0 0+ g 000 0 1 0 1  u                    P 23e     366643 6 8 2 1 1 1    45.0   47.0
261 2101.814790 1.609E-24 4.504E-03.09030.175  635.19960.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    R  4e     366643 6 7 2 1 1 1    11.0    9.0
261 2101.850730 4.812E-24 4.492E-03.09030.175  635.30420.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    R  4f     366643 6 7 2 1 1 1    33.0   27.0
261 2101.997580 6.282E-25 4.868E-03.06880.124 1105.04020.75-.001000 000 1 3 1-1+ u 000 1 0 1 0  g                    P 20e     366643 6 7 2 1 1 1    39.0   41.0
261 2102.160340 7.061E-24 8.354E-03.05240.098 1022.45200.75-.001000 000 0 3 0 1  u 000 0 0 0 0+ g                    P 29e     366643 6 7 2 1 1 1   171.0  177.0
261 2102.281340 3.828E-24 2.601E-02.06530.118 1324.01590.75-.001000 000 0 4 0 0+ g 000 0 1 0 1  u                    P 22e     366643 6 8 2 1 1 1   129.0  135.0
261 2103.480220 8.780E-25 1.210E-02.05970.110 1496.18980.75-.001000 000 0 4 0 2  g 000 0 1 0 1  u                    P 25f     366643 6 7 2 1 1 1   147.0  153.0
261 2104.103430 5.535E-24 4.637E-03.08750.170  646.95200.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    R  5e     366643 6 7 2 1 1 1    39.0   33.0
261 2104.129570 2.185E-24 4.745E-03.07040.126 1058.07970.75-.001000 000 1 3 1-1+ u 000 1 0 1 0  g                    P 19e     366643 6 7 2 1 1 1   111.0  117.0
261 2104.143370 1.838E-24 4.623E-03.08750.170  647.10880.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    R  5f     366643 6 7 2 1 1 1    13.0   11.0
261 2104.450850 3.158E-24 8.362E-03.05410.101  954.36510.75-.001000 000 0 3 0 1  u 000 0 0 0 0+ g                    P 28e     366643 6 7 2 1 1 1    55.0   57.0
261 2104.458390 1.530E-24 2.549E-02.06710.121 1272.32200.75-.001000 000 0 4 0 0+ g 000 0 1 0 1  u                    P 21e     366643 6 8 2 1 1 1    41.0   43.0
261 2105.673380 3.711E-25 1.204E-02.06160.113 1437.23710.75-.001000 000 0 4 0 2  g 000 0 1 0 1  u                    P 24f     366643 6 7 2 1 1 1    47.0   49.0
261 2106.260210 8.336E-25 4.631E-03.07190.129 1013.46240.75-.001000 000 1 3 1-1+ u 000 1 0 1 0  g                    P 18e     366643 6 7 2 1 1 1    35.0   37.0
261 2106.381590 2.023E-24 4.729E-03.08520.166  661.05440.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    R  6e     366643 6 7 2 1 1 1    15.0   13.0
261 2106.424470 6.043E-24 4.714E-03.08520.166  661.27400.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    R  6f     366643 6 7 2 1 1 1    45.0   39.0
261 2106.629970 5.434E-24 2.501E-02.06880.124 1222.97190.75-.001000 000 0 4 0 0+ g 000 0 1 0 1  u                    P 20e     366643 6 8 2 1 1 1   117.0  123.0
261 2106.740860 1.255E-23 8.369E-03.05600.104  888.61560.75-.001000 000 0 3 0 1  u 000 0 0 0 0+ g                    P 27e     366643 6 7 2 1 1 1   159.0  165.0
261 2107.870130 1.392E-24 1.196E-02.06350.116 1380.63460.75-.001000 000 0 4 0 2  g 000 0 1 0 1  u                    P 23f     366643 6 7 2 1 1 1   135.0  141.0
261 2108.390970 2.823E-24 4.523E-03.07330.132  971.18900.75-.001000 000 1 3 1-1+ u 000 1 0 1 0  g                    P 17e     366643 6 7 2 1 1 1    99.0  105.0
261 2108.649250 6.430E-24 4.799E-03.08340.162  677.50670.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    R  7e     366643 6 7 2 1 1 1    51.0   45.0
261 2108.693990 2.132E-24 4.781E-03.08340.162  677.79950.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    R  7f     366643 6 7 2 1 1 1    17.0   15.0
261 2108.797000 2.116E-24 2.456E-02.07040.126 1175.96640.75-.001000 000 0 4 0 0+ g 000 0 1 0 1  u                    P 19e     366643 6 8 2 1 1 1    37.0   39.0
261 2109.030530 5.470E-24 8.373E-03.05780.107  825.20460.75-.001000 000 0 3 0 1  u 000 0 0 0 0+ g                    P 26e     366643 6 7 2 1 1 1    51.0   53.0
261 2110.070910 5.725E-25 1.189E-02.06530.118 1326.38350.75-.001000 000 0 4 0 2  g 000 0 1 0 1  u                    P 22f     366643 6 7 2 1 1 1    43.0   45.0
261 2110.523410 1.048E-24 4.426E-03.07460.135  931.26030.75-.001000 000 1 3 1-1+ u 000 1 0 1 0  g                    P 16e     366643 6 7 2 1 1 1    31.0   33.0
261 2110.906360 2.206E-24 4.853E-03.08200.158  696.30850.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    R  8e     366643 6 7 2 1 1 1    19.0   17.0
261 2110.951900 6.577E-24 4.832E-03.08200.158  696.68490.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    R  8f     366643 6 7 2 1 1 1    57.0   51.0
261 2110.960650 7.318E-24 2.414E-02.07190.129 1131.30640.75-.001000 000 0 4 0 0+ g 000 0 1 0 1  u                    P 18e     366643 6 8 2 1 1 1   105.0  111.0
261 2111.077570 5.370E-25 1.414E-03.06880.124 1107.23020.75-.001000 000 1 3 1 1  u 000 1 0 1 0  g                    P 20f     366643 6 7 2 1 1 1   117.0  123.0
261 2111.320060 2.118E-23 8.377E-03.05970.110  764.13330.75-.001000 000 0 3 0 1  u 000 0 0 0 0+ g                    P 25e     366643 6 7 2 1 1 1   147.0  153.0
261 2112.121060 1.616E-25 4.131E-03.06350.116 1378.05290.75-.001000 000 0 4 0 2  g 000 0 1 0 1  u                    P 23e     366643 6 7 2 1 1 1    45.0   47.0
261 2112.140020 8.022E-25 8.136E-03.05780.107 1439.61550.75-.001000 000 1 3 1-1- u 000 1 0 1 0  g                    P 26f     366643 6 7 2 1 1 1   153.0  159.0
261 2112.276170 2.089E-24 1.181E-02.06710.121 1274.48450.75-.001000 000 0 4 0 2  g 000 0 1 0 1  u                    P 21f     366643 6 7 2 1 1 1   123.0  129.0
261 2112.370000 2.781E-25 8.769E-04.06710.121 1154.34300.75-.001000 000 1 3 1 1  u 000 1 0 1 0  g                    P 21e     366643 6 7 2 1 1 1   123.0  129.0
261 2112.659150 3.453E-24 4.337E-03.07560.138  893.67680.75-.001000 000 1 3 1-1+ u 000 1 0 1 0  g                    P 15e     366643 6 7 2 1 1 1    87.0   93.0
261 2113.122260 2.774E-24 2.375E-02.07330.132 1088.99260.75-.001000 000 0 4 0 0+ g 000 0 1 0 1  u                    P 17e     366643 6 8 2 1 1 1    33.0   35.0
261 2113.152890 6.645E-24 4.896E-03.08080.154  717.45950.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    R  9e     366643 6 7 2 1 1 1    63.0   57.0
261 2113.198160 2.199E-24 4.872E-03.08080.154  717.93000.75-.001000 010 0 1 0 1  u 000 1 0 1 0  g                    R  9f     366643 6 7 2 1 1 1    21.0   19.0
261 2113.292620 2.191E-25 1.454E-03.07040.126 1060.06180.75-.001000 000 1 3 1 1  u 000 1 0 1 0  g                    P 19f     366643 6 7 2 1 1 1    37.0   39.0
261 2113.609660 8.993E-24 8.380E-03.06160.113  705.40260.75-.001000 000 0 3 0 1  u 000 0 0 0 0+ g                    P 24e     366643 6 7 2 1 1 1    47.0   49.0
